Des-I,Emp-I,TIPOVUELO,temporada_alta,periodo_dia,atraso_15
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,1
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,1
KMIA,AAL,I,1,noche,1
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,1
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,1
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KMIA,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,1
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,1
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,1
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,1
KDFW,AAL,I,1,noche,0
KDFW,AAL,I,1,noche,0
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,0
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,0
SAEZ,ACA,I,1,tarde,0
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,0
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,0
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,1
SAEZ,ACA,I,1,tarde,0
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
CYYZ,ACA,I,1,noche,1
