Des-I,Emp-I,DIA,MES,DIANOM,TIPOVUELO,temporada_alta,periodo_dia,atraso_15
KMIA,AAL,1,1,Domingo,I,1,noche,0
KMIA,AAL,2,1,Lunes,I,1,noche,0
KMIA,AAL,3,1,Martes,I,1,noche,0
KMIA,AAL,4,1,Miercoles,I,1,noche,0
KMIA,AAL,5,1,Jueves,I,1,noche,0
KMIA,AAL,7,1,Sabado,I,1,noche,1
KMIA,AAL,7,1,Sabado,I,1,noche,0
KMIA,AAL,8,1,Domingo,I,1,noche,0
KMIA,AAL,10,1,Martes,I,1,noche,1
KMIA,AAL,12,1,Jueves,I,1,noche,1
KMIA,AAL,14,1,Sabado,I,1,noche,0
KMIA,AAL,16,1,Lunes,I,1,noche,0
KMIA,AAL,18,1,Miercoles,I,1,noche,0
KMIA,AAL,21,1,Sabado,I,1,noche,0
KMIA,AAL,23,1,Lunes,I,1,noche,0
KMIA,AAL,25,1,Miercoles,I,1,noche,0
KMIA,AAL,28,1,Sabado,I,1,noche,0
KMIA,AAL,30,1,Lunes,I,1,noche,0
KMIA,AAL,1,1,Domingo,I,1,noche,0
KMIA,AAL,2,1,Lunes,I,1,noche,0
KMIA,AAL,3,1,Martes,I,1,noche,0
KMIA,AAL,4,1,Miercoles,I,1,noche,0
KMIA,AAL,5,1,Jueves,I,1,noche,0
KMIA,AAL,6,1,Viernes,I,1,noche,1
KMIA,AAL,7,1,Sabado,I,1,noche,0
KMIA,AAL,8,1,Domingo,I,1,noche,0
KMIA,AAL,9,1,Lunes,I,1,noche,1
KMIA,AAL,10,1,Martes,I,1,noche,0
KMIA,AAL,11,1,Miercoles,I,1,noche,0
KMIA,AAL,12,1,Jueves,I,1,noche,0
KMIA,AAL,13,1,Viernes,I,1,noche,0
KMIA,AAL,14,1,Sabado,I,1,noche,0
KMIA,AAL,15,1,Domingo,I,1,noche,0
KMIA,AAL,16,1,Lunes,I,1,noche,0
KMIA,AAL,17,1,Martes,I,1,noche,0
KMIA,AAL,18,1,Miercoles,I,1,noche,0
KMIA,AAL,19,1,Jueves,I,1,noche,0
KMIA,AAL,21,1,Sabado,I,1,noche,0
KMIA,AAL,22,1,Domingo,I,1,noche,0
KMIA,AAL,23,1,Lunes,I,1,noche,0
KMIA,AAL,24,1,Martes,I,1,noche,0
KMIA,AAL,25,1,Miercoles,I,1,noche,0
KMIA,AAL,26,1,Jueves,I,1,noche,0
KMIA,AAL,27,1,Viernes,I,1,noche,0
KMIA,AAL,28,1,Sabado,I,1,noche,0
KMIA,AAL,29,1,Domingo,I,1,noche,0
KMIA,AAL,30,1,Lunes,I,1,noche,0
KMIA,AAL,31,1,Martes,I,1,noche,0
KDFW,AAL,1,1,Domingo,I,1,noche,0
KDFW,AAL,2,1,Lunes,I,1,noche,0
KDFW,AAL,3,1,Martes,I,1,noche,0
KDFW,AAL,4,1,Miercoles,I,1,noche,1
KDFW,AAL,5,1,Jueves,I,1,noche,0
KDFW,AAL,6,1,Viernes,I,1,noche,1
KDFW,AAL,7,1,Sabado,I,1,noche,0
KDFW,AAL,8,1,Domingo,I,1,noche,0
KDFW,AAL,9,1,Lunes,I,1,noche,0
KDFW,AAL,10,1,Martes,I,1,noche,0
KDFW,AAL,11,1,Miercoles,I,1,noche,0
KDFW,AAL,12,1,Jueves,I,1,noche,1
KDFW,AAL,13,1,Viernes,I,1,noche,0
KDFW,AAL,14,1,Sabado,I,1,noche,0
KDFW,AAL,15,1,Domingo,I,1,noche,0
KDFW,AAL,16,1,Lunes,I,1,noche,0
KDFW,AAL,17,1,Martes,I,1,noche,0
KDFW,AAL,18,1,Miercoles,I,1,noche,0
KDFW,AAL,19,1,Jueves,I,1,noche,0
KDFW,AAL,20,1,Viernes,I,1,noche,0
KDFW,AAL,21,1,Sabado,I,1,noche,0
KDFW,AAL,22,1,Domingo,I,1,noche,0
KDFW,AAL,23,1,Lunes,I,1,noche,0
KDFW,AAL,24,1,Martes,I,1,noche,0
KDFW,AAL,25,1,Miercoles,I,1,noche,0
KDFW,AAL,26,1,Jueves,I,1,noche,0
KDFW,AAL,27,1,Viernes,I,1,noche,0
KDFW,AAL,28,1,Sabado,I,1,noche,0
KDFW,AAL,29,1,Domingo,I,1,noche,1
KDFW,AAL,30,1,Lunes,I,1,noche,0
KDFW,AAL,31,1,Martes,I,1,noche,0
SAEZ,ACA,1,1,Domingo,I,1,tarde,1
SAEZ,ACA,2,1,Lunes,I,1,tarde,1
SAEZ,ACA,3,1,Martes,I,1,tarde,1
SAEZ,ACA,4,1,Miercoles,I,1,tarde,1
SAEZ,ACA,5,1,Jueves,I,1,tarde,0
SAEZ,ACA,6,1,Viernes,I,1,tarde,1
SAEZ,ACA,7,1,Sabado,I,1,tarde,1
SAEZ,ACA,8,1,Domingo,I,1,tarde,1
SAEZ,ACA,9,1,Lunes,I,1,tarde,1
SAEZ,ACA,10,1,Martes,I,1,tarde,1
SAEZ,ACA,11,1,Miercoles,I,1,tarde,1
SAEZ,ACA,12,1,Jueves,I,1,tarde,1
SAEZ,ACA,13,1,Viernes,I,1,tarde,1
SAEZ,ACA,14,1,Sabado,I,1,tarde,1
SAEZ,ACA,15,1,Domingo,I,1,tarde,1
SAEZ,ACA,16,1,Lunes,I,1,tarde,1
SAEZ,ACA,17,1,Martes,I,1,tarde,1
SAEZ,ACA,18,1,Miercoles,I,1,tarde,0
SAEZ,ACA,19,1,Jueves,I,1,tarde,0
SAEZ,ACA,20,1,Viernes,I,1,tarde,1
SAEZ,ACA,21,1,Sabado,I,1,tarde,0
SAEZ,ACA,22,1,Domingo,I,1,tarde,1
SAEZ,ACA,23,1,Lunes,I,1,tarde,1
SAEZ,ACA,24,1,Martes,I,1,tarde,1
SAEZ,ACA,25,1,Miercoles,I,1,tarde,0
SAEZ,ACA,26,1,Jueves,I,1,tarde,1
SAEZ,ACA,27,1,Viernes,I,1,tarde,1
SAEZ,ACA,28,1,Sabado,I,1,tarde,1
SAEZ,ACA,29,1,Domingo,I,1,tarde,1
SAEZ,ACA,30,1,Lunes,I,1,tarde,0
CYYZ,ACA,1,1,Domingo,I,1,noche,1
CYYZ,ACA,2,1,Lunes,I,1,noche,1
CYYZ,ACA,3,1,Martes,I,1,noche,1
CYYZ,ACA,4,1,Miercoles,I,1,noche,1
CYYZ,ACA,5,1,Jueves,I,1,noche,0
CYYZ,ACA,6,1,Viernes,I,1,noche,1
CYYZ,ACA,7,1,Sabado,I,1,noche,1
CYYZ,ACA,8,1,Domingo,I,1,noche,1
CYYZ,ACA,9,1,Lunes,I,1,noche,1
CYYZ,ACA,10,1,Martes,I,1,noche,1
CYYZ,ACA,11,1,Miercoles,I,1,noche,1
CYYZ,ACA,13,1,Viernes,I,1,noche,1
CYYZ,ACA,14,1,Sabado,I,1,noche,1
CYYZ,ACA,15,1,Domingo,I,1,noche,1
CYYZ,ACA,16,1,Lunes,I,1,noche,1
CYYZ,ACA,17,1,Martes,I,1,noche,1
CYYZ,ACA,18,1,Miercoles,I,1,noche,1
CYYZ,ACA,19,1,Jueves,I,1,noche,1
CYYZ,ACA,20,1,Viernes,I,1,noche,0
CYYZ,ACA,21,1,Sabado,I,1,noche,1
CYYZ,ACA,22,1,Domingo,I,1,noche,0
CYYZ,ACA,23,1,Lunes,I,1,noche,1
CYYZ,ACA,24,1,Martes,I,1,noche,0
CYYZ,ACA,25,1,Miercoles,I,1,noche,0
CYYZ,ACA,26,1,Jueves,I,1,noche,0
CYYZ,ACA,27,1,Viernes,I,1,noche,0
CYYZ,ACA,28,1,Sabado,I,1,noche,0
CYYZ,ACA,29,1,Domingo,I,1,noche,0
CYYZ,ACA,30,1,Lunes,I,1,noche,0
LFPG,AFR,1,1,Domingo,I,1,tarde,0
LFPG,AFR,2,1,Lunes,I,1,tarde,0
LFPG,AFR,3,1,Martes,I,1,tarde,0
LFPG,AFR,4,1,Miercoles,I,1,tarde,0
LFPG,AFR,5,1,Jueves,I,1,tarde,0
LFPG,AFR,6,1,Viernes,I,1,tarde,1
LFPG,AFR,7,1,Sabado,I,1,tarde,0
LFPG,AFR,8,1,Domingo,I,1,tarde,0
LFPG,AFR,9,1,Lunes,I,1,tarde,0
LFPG,AFR,10,1,Martes,I,1,tarde,0
LFPG,AFR,11,1,Miercoles,I,1,tarde,0
LFPG,AFR,12,1,Jueves,I,1,tarde,0
LFPG,AFR,13,1,Viernes,I,1,tarde,0
LFPG,AFR,14,1,Sabado,I,1,tarde,1
LFPG,AFR,15,1,Domingo,I,1,tarde,0
LFPG,AFR,16,1,Lunes,I,1,tarde,0
LFPG,AFR,17,1,Martes,I,1,tarde,0
LFPG,AFR,18,1,Miercoles,I,1,tarde,1
LFPG,AFR,19,1,Jueves,I,1,tarde,0
LFPG,AFR,20,1,Viernes,I,1,tarde,0
LFPG,AFR,21,1,Sabado,I,1,tarde,0
LFPG,AFR,22,1,Domingo,I,1,tarde,0
LFPG,AFR,23,1,Lunes,I,1,tarde,0
LFPG,AFR,24,1,Martes,I,1,tarde,0
LFPG,AFR,25,1,Miercoles,I,1,tarde,0
LFPG,AFR,26,1,Jueves,I,1,tarde,0
LFPG,AFR,27,1,Viernes,I,1,tarde,0
LFPG,AFR,28,1,Sabado,I,1,tarde,0
LFPG,AFR,29,1,Domingo,I,1,tarde,0
LFPG,AFR,30,1,Lunes,I,1,tarde,0
LFPG,AFR,31,1,Martes,I,1,tarde,0
MMMX,AMX,1,1,Domingo,I,1,noche,0
MMMX,AMX,2,1,Lunes,I,1,noche,0
MMMX,AMX,3,1,Martes,I,1,noche,0
MMMX,AMX,4,1,Miercoles,I,1,noche,0
MMMX,AMX,5,1,Jueves,I,1,noche,0
MMMX,AMX,6,1,Viernes,I,1,noche,0
MMMX,AMX,7,1,Sabado,I,1,noche,0
MMMX,AMX,8,1,Domingo,I,1,noche,0
MMMX,AMX,9,1,Lunes,I,1,noche,0
MMMX,AMX,10,1,Martes,I,1,noche,0
MMMX,AMX,11,1,Miercoles,I,1,noche,0
MMMX,AMX,12,1,Jueves,I,1,noche,0
MMMX,AMX,13,1,Viernes,I,1,noche,0
MMMX,AMX,14,1,Sabado,I,1,noche,0
MMMX,AMX,15,1,Domingo,I,1,noche,0
MMMX,AMX,16,1,Lunes,I,1,noche,0
MMMX,AMX,17,1,Martes,I,1,noche,0
MMMX,AMX,18,1,Miercoles,I,1,noche,0
MMMX,AMX,19,1,Jueves,I,1,noche,0
MMMX,AMX,21,1,Sabado,I,1,noche,1
MMMX,AMX,21,1,Sabado,I,1,noche,0
MMMX,AMX,22,1,Domingo,I,1,noche,0
MMMX,AMX,23,1,Lunes,I,1,noche,0
MMMX,AMX,24,1,Martes,I,1,noche,0
MMMX,AMX,25,1,Miercoles,I,1,noche,0
MMMX,AMX,26,1,Jueves,I,1,noche,0
MMMX,AMX,27,1,Viernes,I,1,noche,0
MMMX,AMX,28,1,Sabado,I,1,noche,0
MMMX,AMX,29,1,Domingo,I,1,noche,0
MMMX,AMX,30,1,Lunes,I,1,noche,0
MMMX,AMX,31,1,Martes,I,1,noche,0
